Dims,NDCG,MAP,TOP1 Precision,TOP1 Recall,TOP1 F1,TOP3 Precision,TOP3 Recall,TOP3 F1,TOP5 Precision,TOP5 Recall,TOP5 F1
Cold_user_all_y88_0,0.812841105311338,0.7001111111111109,0.6,0.2,0.3,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.496,0.8266666666666667,0.62
Cold_user_all_y88_10,0.8293447746353644,0.7185820105820104,0.68,0.22666666666666666,0.34,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.496,0.8266666666666667,0.62
Cold_user_all_y88_11,0.8290655929918076,0.7236931216931217,0.68,0.22666666666666666,0.34,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.496,0.8266666666666667,0.62
Cold_user_all_y88_1,0.8264172485586839,0.7199576719576719,0.64,0.21333333333333335,0.32,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.504,0.84,0.6300000000000001
Cold_user_all_y88_2,0.8288657930130614,0.7247301587301588,0.64,0.21333333333333335,0.32,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.488,0.8133333333333334,0.61
Cold_user_all_y88_3,0.8113492725926058,0.7082380952380953,0.6,0.2,0.3,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.48,0.8,0.6
Cold_user_all_y88_4,0.8055368731123869,0.6846349206349207,0.6,0.2,0.3,0.6,0.6,0.6,0.504,0.84,0.6300000000000001
Cold_user_all_y88_5,0.8023521078904245,0.6903121693121693,0.6,0.2,0.3,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.496,0.8266666666666667,0.62
Cold_user_all_y88_6,0.8394771138218278,0.744042328042328,0.64,0.21333333333333335,0.32,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.504,0.84,0.6300000000000001
Cold_user_all_y88_7,0.8350965498424872,0.724920634920635,0.72,0.24,0.36,0.6,0.6,0.6,0.52,0.8666666666666667,0.65
Cold_user_all_y88_8,0.814051227387789,0.7046984126984127,0.56,0.18666666666666668,0.28,0.6,0.6,0.6,0.52,0.8666666666666667,0.65
Cold_user_all_y88_9,0.8349987939547567,0.7251746031746031,0.68,0.22666666666666666,0.34,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.504,0.84,0.6300000000000001
