Dims,NDCG,MAP,TOP1 Precision,TOP1 Recall,TOP1 F1,TOP3 Precision,TOP3 Recall,TOP3 F1,TOP5 Precision,TOP5 Recall,TOP5 F1
VBPR0,0.6265070874930485,0.5212165856159664,0.6,0.2,0.3,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.312,0.52,0.38999999999999996
VBPR1,0.5494291433508907,0.45157570214194265,0.44,0.14666666666666667,0.22,0.32,0.32,0.32,0.296,0.49333333333333335,0.37
